File,Function or route,Required permission,Tenant-owned inputs,Source of companyId,Ownership validation,Relationship validation,Previous status,Final status,Test coverage,Notes
src/lib/actions.ts,loginAction,none,email,N/A,N/A,N/A,safe,safe,tests/session-lifecycle.test.ts,
src/lib/actions.ts,logoutAction,session,—,user.companyId,N/A,N/A,safe,safe,tests/session-lifecycle.test.ts,
src/lib/actions.ts,signupAction,none,email,creates,N/A,N/A,safe,safe,tests/rate-limit.test.ts,
src/lib/actions.ts,processJobsAction,settings:manage,—,removed,removed,removed,defect,removed,tests/security/jobs-route.test.ts,customer global processor deleted
src/lib/property-actions.ts,createPropertyAction,properties:manage,unitCode,user.companyId,yes,N/A,safe,fixed,tests/access-scope.test.ts,restricted scopes cannot create
src/lib/property-actions.ts,updatePropertyProfileAction,properties:manage,id,user.companyId,yes,yes,safe,fixed,tests/access-scope.test.ts,accessScope enforced
src/lib/property-actions.ts,updatePropertySettingsAction,properties:manage,sopId/sowId/vendorId,user.companyId,yes,yes,defect,fixed,—,tenant validators + accessScope
src/lib/property-actions.ts,updatePropertyCalendarAction,properties:manage,id,user.companyId,yes,yes,safe,fixed,—,accessScope enforced
src/lib/issue-actions.ts,createIssueAction,issues:manage,property/turnover/qa ids,user.companyId,yes,yes,defect,fixed,tests/tenant-isolation.test.ts,
src/lib/issue-actions.ts,updateIssueStatusAction,issues:manage,issueId,user.companyId,yes,yes,safe,fixed,—,accessScope enforced on mutation
src/lib/issue-actions.ts,assignIssueAction,issues:manage,issueId/vendorId,user.companyId,yes,yes,safe,fixed,—,accessScope enforced on mutation
src/lib/issue-actions.ts,escalateIssueAction,issues:manage,issueId,user.companyId,yes,yes,defect,fixed,—,tenant + accessScope
src/lib/issue-actions.ts,addIssueCommentAction,issues:manage,issueId,user.companyId,yes,N/A,safe,fixed,—,accessScope enforced on mutation
src/lib/issue-actions.ts,createIssuesFromQaAction,issues:manage,inspectionId,user.companyId,yes,yes,safe,fixed,—,accessScope via turnover
src/lib/issues.ts,createIssue,caller,property/turnover/qa,param,yes,yes,defect,fixed,tests/tenant-isolation.test.ts,
src/lib/issues.ts,escalateIssue,caller,issueId,param,yes,yes,defect,fixed,—,
src/lib/issues.ts,listIssues,page,filters,param,yes,yes,safe,fixed,tests/access-scope.test.ts,accessScope
src/lib/issues.ts,getIssueDetail,page,issueId,param,yes,yes,safe,fixed,tests/access-scope.test.ts,accessScope
src/lib/settings-actions.ts,updateCompanyProfileAction,settings:manage,—,user.companyId,yes,N/A,safe,safe,—,
src/lib/settings-actions.ts,updateNotificationsAction,settings:manage,—,user.companyId,yes,N/A,safe,safe,—,
src/lib/settings-actions.ts,updateBrandingAction,settings:manage,—,user.companyId,yes,N/A,safe,safe,—,
src/lib/settings-actions.ts,updatePropertyDefaultsAction,settings:manage,propertyId,user.companyId,yes,yes,defect,fixed,—,
src/lib/settings-actions.ts,createUserAction,settings:manage,propertyIds,user.companyId,N/A,yes,defect,fixed,tests/access-scope.test.ts,
src/lib/settings-actions.ts,updateUserAction,settings:manage,propertyIds,user.companyId,yes,yes,defect,fixed,tests/access-scope.test.ts,
src/lib/settings-actions.ts,updateSystemSettingsAction,settings:manage,defaultSop/Sow,user.companyId,yes,yes,defect,fixed,—,
src/lib/settings.ts,updatePropertyAdminDefaults,caller,propertyId,param,yes,yes,defect,fixed,—,
src/lib/settings.ts,createCompanyUser,caller,propertyIds,param,N/A,yes,defect,fixed,tests/access-scope.test.ts,
